国家,男性,女性
Norway,0,1
Philippines,0,1
Slovenia,0,1
Ireland,4,23
Nigeria,0,1
United Kingdom,25,153
Thailand,0,1
Austria,0,3
Finland,0,3
Portugal,0,2
Latvia,0,1
Denmark,0,2
Italy,0,5
Romania,0,1
France,0,13
Sweden,2,5
Canada,14,55
Zimbabwe,0,0
Singapore,0,4
Russia,0,2
United States,172,549
New Zealand,1,7
Germany,1,42
Netherlands,3,24
Brazil,0,6
South Africa,1,5
Israel,1,4
India,2,8
Belgium,2,4
Australia,5,16
Hungary,1,0
Mexico,0,3
Colombia,0,2
Moldova,0,1
Georgia,0,1
Poland,1,6
"Bahamas, The",0,0
Croatia,0,2
Bosnia and Herzegovina,0,1
Costa Rica,0,1
China,0,1
Bulgaria,1,3
Switzerland,1,6
Czech Republic,0,1
Japan,0,1
Spain,1,0
Uruguay,0,1
Greece,0,2
